FIGUERES;EDIFICI DE SERVEIS MUNICIPALS;AV SALVADOR DALI DOMENECH NUM: 107 - FIGUERES (17600)
FIGUERES;FUNDACIO CLERCH I NICOLAU;CARRE NOU NUM: 53 - FIGUERES (17600)
FIGUERES;INSTITUT ALEXANDRE DEULOFEU;CARRE JOAQUIM CUSI I FORTUNET NUM: 3 - FIGUERES (17600)
FIGUERES;INSTITUT RAMON MUNTANER;CARRE SANT PAU NUM: 51 - FIGUERES (17600)
FIGUERES;LOCAL DE LA PARROQUIA DE SANT PERE;PLAÇA GALA I SALVADOR DALI NUM: 1 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DE L’HORTA DE L’HOSPITAL;PLAÇA HORTA DE L’HOSPITAL NUM: 1 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DEL RALLI SUD;CARRE POUS I PAGES NUM: 9 - FIGUERES (17600)
FIGUERES;LOCAL SOCIAL DELS CENDRASSOS;CARRE CENDRASSOS NUM: 36 - FIGUERES (17600)
FIGUERES;SALA D’ACTES DE LA BIBLIOTECA MUNICIPAL;CARRE MANUEL DE FALLA NUM: 1 - FIGUERES (17600)
FLAÇÀ;AJUNTAMENT DE FLAÇÀ;PLAÇA ESTACIÓ DEL CARRILET NUM: 2 - FLAÇÀ (17463)
FOIXÀ;ESCOLES DE FOIXÀ;C/ ESCOLES (DE LES) NUM: 1 - VILA - FOIXÀ (17132)
FONTANALS DE CERDANYA;LOCAL ANEXO A EL VILAR;PLAÇA AJUNTAMENT NUM: 1 - VILAR(EL) - FONTANALS D. CERDANYA (17538)
FONTANILLES;AJUNTAMENT DE FONTANILLES;PLAÇA SANT MARTIN NUM: 1 - FONTANILLES (17257)
FONTCOBERTA;CEIP ALZINA RECLAMADORA;PAISOS CATALANS NUM: 1 - VEINAT DE MELIANTA - FONTCOBERTA (17833)
FORALLAC;CONSULTORI MEDIC DE FONTETA;CARRE EMPORDA NUM: 8 - FONTETA - FORALLAC (17110)
FORALLAC;LOCAL SOCIAL DE VULPELLAC;CARRE UNIO NUM: 3 - VULPELLAC - FORALLAC (17111)
FORALLAC;TEATRET DE PERATALLADA;CARRE ROCA NUM: 10 - PERATALLADA - FORALLAC (17113)
FORNELLS DE LA SELVA;CENTRE SOCIAL;CARRE VICENS VIVES NUM: 1 - FORNELLS DE LA SELVA (17458)
FORTIÀ;CENTRE AGRÍCOLA I SOCIAL;PLAÇA EMPORDÀ NUM: 1 - FORTIÀ (17469)
GARRIGÀS;CENTRE CULTURAL RECINTE ESCOLES;CARRE GRAN NUM: 26 - GARRIGÀS (17476)
GARRIGOLES;LOCAL POLIVALENT “LES BASSOTES”;PLAÇA GERMANDAT NUM: 1 - OLIVES (LES) - GARRIGOLES (17466)
GARRIGUELLA;SALA POLIVALENT;CARRE FRANCESC MACIA NUM: 2 - GARRIGUELLA (17780)
GER;AJUNTAMENT DE GER (BAIXOS);C/ QUATRE CANTONS S/N - GER (17539)
GIRONA;AUDITORI-PALAU DE CONGRESSOS;PG DEVESA NUM: 35 - GIRONA (17001)
GIRONA;CASA DE CULTURA;PLAÇA HOSPITAL NUM: 6 - GIRONA (17002)
GIRONA;CENTRE CÍVIC BARRI VELL MERCADAL;C CORT REIAL NUM: 7 - GIRONA (17004)
GIRONA;CENTRE CIVIC DE PEDRET;C PEDRET NUM: 152 - GIRONA (17007)
GIRONA;CENTRE CIVIC ONYAR;C CAMP DE LA PLANA NUM: 13 - VILA-ROJA - GIRONA (17004)
GIRONA;CENTRE CÍVIC PLA DE PALAU;C SARAGOSSA NUM: 27 - GIRONA (17003)
GIRONA;ESCOLA CARME AUGUET;C PORTLLIGAT NUM: 11 - GIRONA (17007)
GIRONA;ESCOLA DALMAU CARLES;C TAGA NUM: 1 - GIRONA (17006)
GIRONA;ESCOLA EIXIMENIS;C FRANCESC EIXIMENIS NUM: 7 - GIRONA (17001)
GIRONA;ESCOLA JOAN BRUGUERA;G.V. JAUME I NUM: 24 - GIRONA (17001)
GIRONA;ESCOLA PLA DE GIRONA;AV LLUÍS PERICOT NUM: 16 - GIRONA (17003)
GIRONA;ESCOLA TAIALÀ;CTRA TAIALÀ NUM: 75 - GIRONA (17007)
GIRONA;ESCOLA VERD;C TOMÁS DE LORENZANA NUM: 30 - GIRONA (17002)
GIRONA;ESCOLA VERD (PATI);C TOMÁS DE LORENZANA NUM: 30 - GIRONA (17002)
GIRONA;ESCOLA VILA-ROJA;GRUP VILA-ROJA NUM: 180 - VILA-ROJA - GIRONA (17004)
GIRONA;ESCOLES SANT DANIEL;C MONGES NUM: 22 - GIRONA (17007)
GIRONA;L’ESTACIÓ ESPAI JOVE;C SANTA EUGÈNIA NUM: 17 - GIRONA (17005)
GIRONA;LOCAL SOCIAL DE MONTJUÏC;RONDA FORT ROIG NUM: 19 B - GIRONA (17007)
GIRONA;LOCAL SOCIAL DE VISTA ALEGRE;PTGE PICAPEDRERS NUM: 1 - GIRONA (17004)
GIRONA;PAVELLÓ MUNICIPAL DE SANTA EUGÈNIA;PG OLOT NUM: 41 - GIRONA (17006)
GIRONA;PAVELLÓ MUNICIPAL D’ESPORTS DE PALAU;C JOSEP AGUILERA I MARTÍ NUM: 2 - GIRONA (17003)
GIRONA;SERVEI MUNICIPAL D’OCUPACIÓ;C NARCÍS XIFRA I MASMITJÀ NUM: 43 - GIRONA (17005)
GOMBRÈN;AJUNTAMENT DE GOMBREN (DEPENDENCIES MUNICIPALS);AV MOISES TORRENS NUM: 8 - GOMBRÈN (17531)
GUALTA;EDIFICI MUNICIPAL DE SERVEIS;PLAÇA CATALUNYA NUM: 1 - GUALTA (17257)
GUILS DE CERDANYA;ANTIGUES ESCOLES;C/ MALET NUM: 15 - GUILS DE CERDANYA (17528)
HOSTALRIC;CENTRE CULTURAL POLIVALENT SERAFÍ PITARRA;C/ RAVAL NUM: 43 - HOSTALRIC (17450)
HOSTALRIC;COL·LEGI MARE DE DEU DELS SOCORS (VESTÍBUL);AV FORTALESA NUM: 26 - HOSTALRIC (17450)
ISÒVOL;AJUNTAMENT D’ISOVOL (LOCAL POLIVALENT);CARRE MAJOR D’ALL S/N - ALL - ISÒVOL (17539)
JAFRE;CASA DE LA VILA (BAIXOS);PLAÇA MAJOR NUM: 1 - JAFRE (17143)
JONQUERA (LA);EDIFICI CAN LAPORTA;CARRE MAJOR NUM: 2 - JONQUERA (LA) (17700)
JONQUERA (LA);SOCIETAT UNIÓ JONQUERENCA (SALA D’ESPECTACLES);CARRE MAJOR NUM: 101 - JONQUERA (LA) (17700)
