MONTOLIU DE LLEIDA;SALA DEL BALL;CARRER LA CREU, 21
MONTOLIU DE SEGARRA;LOCAL SOCIAL;CARRER CALL, 5
MONTORNES DE SEGARRA;LOCAL SOCIAL DE MONTORNES;CARRER MAJOR, S/N
NALEC;AJUNTAMENT- CASAL D'AVIS;PLAÇA ESGLESIA, S/N
NAUT ARAN;POLIESPORTIU MUNICIPAL - SALARDU;CTRA BAGERGUE UVAGO, 4 -SALARDU-
NAUT ARAN;EDIFICI AJUNTAMENT, BAIXOS - ARTIES;PLAÇA ORTAU, 1 -ARTIES-
NAVES;CASA CONSISTORIAL;CASA CONSISTORIAL, S/N
ODEN;CASA CONSISTORIAL;CTRA DE COLL DE JOU, S/N -CAMBRILS-
OLIANA;AJUNTAMENT;PLAÇA LA REGUERETA, S/N
OLIOLA;AJUNTAMENT;PLAÇA ESCOLES, 1
OLIUS;LA CASA DEL POBLE;PLAÇA DE L'OLIVERA, 1 -EL PI DE SANT JUST-
OLUGES (LES);CASA CONSISTORIAL;CARRER DEL CASTELL, 2
OMELLONS (ELS);LOCAL SOCIAL DELS OMELLONS - BAIXOS;PLAÇA MAJOR, 13
OMELLS DE NA GAIA (ELS);ESCOLA PUBLICA;PLAÇA MAJOR, 1
ORGANYA;AJUNTAMENT (SALA D'ACTES);CTRA LLEIDA, 23
OS DE BALAGUER;AJUNTAMENT D'OS DE BALAGUER;CARRER LA SEDA, 26
OS DE BALAGUER;EMD DE GERB;PLAÇA MAJOR - GERB, 2 -GERB-
OSSO DE SIO;LOCAL SOCIAL D'OSSO DE SIO;PLAÇA MAJOR OSSO DE SIO, S/N
PALAU D'ANGLESOLA (EL);COL·LEGI PUBLIC ARNAU BERENGUER;PLAÇA GENERALITAT, S/N
PENELLES;SALA LO XARAGALL;CARRER DE RITA BOLDU, S/N
PERAMOLA;AJUNTAMENT;CARRER FEDERICO RIBO, 8
PINELL DE SOLSONES;CASA CONSISTORIAL;AJUNTAMENT NOU, S/N -SANT CLIMENÇ-
PINOS;AJUNTAMENT;CASA CONSISTORIAL, S/N
PLANS DE SIO;COL·LEGI PUBLIC DE LES PALLARGUES;CARRER ESTUDIS, S/N -LES PALLARGUES-
POAL (EL);ESCOLA PUBLICA 'EL ROSER' AULA CICLE SU.;PLAÇA CATALUNYA, 1
POBLA DE CERVOLES (LA);AJUNTAMENT;PLAÇA SANT MIQUEL, 9
POBLA DE SEGUR (LA);COMU DE PARTICULARS;CARRER LA FONT, 17
POBLA DE SEGUR (LA);TORRE MAURI;AV VERDAGUER, 35
PONT DE BAR (EL);AJUNTAMENT;PLAÇA MAJOR, 1
PONT DE SUERT (EL);EDIFICI NOVA CONFRARIA DE SANT SEBASTIA;AV DE VICTORIANO MUÑOZ, 22
PONTS;'LA SALA';CARRER SANT CRISTOFOL, 12
PORTELLA (LA);AJUNTAMENT (BAIXOS);PLAÇA CREU, 1
PRATS I SANSOR;LOCAL SOCIAL AJUNTAMENT;PLAÇA DE LA FONT, S/N -PRATS-
PREIXANA;CASAL SOCIAL D'AVIS;PLAÇA CATALUNYA, 5
PREIXENS;ESCOLES PUBLIQUES DE PREIXENS;TRSSI SANT JOAN, S/N
PRULLANS;AJUNTAMENT - ESCOLA;CARRER PUIG, S/N
