MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
MATARÓ;ESCOLA GERMANES BERTOMEU;C REPUBLICA DOMINICANA NUM: 15,08304 MATARÓ
MATARÓ;CC ROCAFONDA-EL PALAU;C SANTIAGO RUSIÑOL NUM: 23,08304 MATARÓ
MATARÓ;ESCOLA GERMANES BERTOMEU;C REPUBLICA DOMINICANA NUM: 15,08304 MATARÓ
MATARÓ;CENTRE SOCIAL VISTA ALEGRE;C ALMERIA S/N,08304 MATARÓ
MATARÓ;CC MOLINS;C NICOLAU GUAÑABENS NUM: 23,08304 MATARÓ
MATARÓ;ESCOLA ANGELA BRANSUELA;RONDA SANT OLEGUER NUM: 76,08304 MATARÓ
MATARÓ;CASAL MUNICIPAL DE LA GENT GRAN DEL PARC;AV CORREGIMENT DE MATARO NUM: 28,08304 MATARÓ
MATARÓ;ESCOLA GERMANES BERTOMEU;C REPUBLICA DOMINICANA NUM: 15,08304 MATARÓ
MATARÓ;CENTRE SOCIAL VISTA ALEGRE;C ALMERIA S/N,08304 MATARÓ
MATARÓ;ESCOLA MARIA MERCÈ MARÇAL;RIERA FIGUERA MAJOR NUM: 60,08304 MATARÓ
MATARÓ;INSTITUT ALEXANDRE SATORRAS;AV VELODROM NUM: 37,08304 MATARÓ
MATARÓ;CENTRE SOCIAL DE CIRERA;CRA CIRERA (DE) NUM: 33,08304 MATARÓ
MATARÓ;ESCOLA ANTONIO MACHADO;PL ANTONIO MACHADO NUM: 1,08304 MATARÓ
MATARÓ;AULARI INSTITUT PUIG I CADAFALCH;C GALICIA NUM: 3,08303 MATARÓ
MATARÓ;ESCOLA CIRERA;AV CORREGIMENT DE MATARO NUM: 59,08304 MATARÓ
MATARÓ;AULARI INSTITUT PUIG I CADAFALCH;C GALICIA NUM: 3,08303 MATARÓ
MATARÓ;ESCOLA CIRERA;AV CORREGIMENT DE MATARO NUM: 59,08304 MATARÓ
MATARÓ;ANTIGA E UNIVERSITÀRIA POLITÈCNICA;AV PUIG I CADAFALCH NUM: 101,08303 MATARÓ
MATARÓ;INSTITUT PUIG I CADAFALCH;C SANT JOSEP DE CALASSANC NUM: 16,08303 MATARÓ
MATARÓ;COL.LEGI SANT JOSEP;RONDA BELLAVISTA NUM: 27,08303 MATARÓ
MATARÓ;CENTRE SOCIAL CARRER VALENCIA;C VALENCIA NUM: 92,08303 MATARÓ
MATARÓ;CENTRE DE FORMACIÓ D'ADULTS ELS TARONGERS;C MARE DE DEU DE LA CISA NUM: 80,08303 MATARÓ
MATARÓ;C. CIVIC CERDANYOLA;PG RAMON BERENGUER III NUM: 82,08303 MATARÓ
MATARÓ;CENTRE DE FORMACIÓ D'ADULTS ELS TARONGERS;C MARE DE DEU DE LA CISA NUM: 80,08303 MATARÓ
MATARÓ;ANTIGA E UNIVERSITÀRIA POLITÈCNICA;AV PUIG I CADAFALCH NUM: 101,08303 MATARÓ
MATARÓ;CENTRE SOCIAL CARRER VALENCIA;C VALENCIA NUM: 92,08303 MATARÓ
MATARÓ;ANTIGA E UNIVERSITÀRIA POLITÈCNICA;AV PUIG I CADAFALCH NUM: 101,08303 MATARÓ
MATARÓ;INSTITUT PUIG I CADAFALCH;C SANT JOSEP DE CALASSANC NUM: 16,08303 MATARÓ
MATARÓ;CC. CABOT I BARBA;PL MIQUEL BIADA NUM: 5,08301 MATARÓ
MATARÓ;EDIFICI LA MODERNA;C CUBA NUM: 47,08302 MATARÓ
MATARÓ;ESCOLA J.M. PERAMÀS;C JOSEP MONSERRAT CUADRADA NUM: 11,08303 MATARÓ
MATARÓ;LES ESMANDIES;RONDA O'DONNELL NUM: 94,08302 MATARÓ
MATARÓ;ESCOLA J.M. PERAMÀS;C JOSEP MONSERRAT CUADRADA NUM: 11,08303 MATARÓ
MATARÓ;CC PLA D'EN BOET;C JUAN SEBASTIAN ELCANO NUM: 6,08302 MATARÓ
MATARÓ;ESCOLA J.M. PERAMÀS;C JOSEP MONSERRAT CUADRADA NUM: 11,08303 MATARÓ
MATARÓ;CC PLA D'EN BOET;C JUAN SEBASTIAN ELCANO NUM: 6,08302 MATARÓ
MEDIONA;CASAL DE LA GENT GRAN;CALLE DOCTOR TRUETA NUM: 10,SANT JOAN DE MEDIONA 08773 MEDIONA
MEDIONA;LLAR D'INFANTS TANGRAM;AV MARISTANY NUM: 20,URBANITZACIÓ FONT DEL BOSC SANT PERE SACARRERA I URBANITZACIO FONT DEL BOSC 08773 MEDIONA
MOLINS DE REI;ESCOLA PALAU;C RAFAEL DE CASANOVA NUM: 45,08750 MOLINS DE REI
MOLINS DE REI;ESCOLA PONT DE LA CADENA;C FELIP CANALIAS NUM: 15,08750 MOLINS DE REI
MOLINS DE REI;CENTRE FORMACIÓ ADULTS RAFAEL FARRÉ;C FERRAN AGULLO NUM: 5,08750 MOLINS DE REI
MOLINS DE REI;C.C. PONT DE LA CADENA;C FERRAN AGULLO NUM: 8,08750 MOLINS DE REI
MOLINS DE REI;CENTRE FORMACIÓ ADULTS RAFAEL FARRÉ;C FERRAN AGULLO NUM: 5,08750 MOLINS DE REI
MOLINS DE REI;ESCOLA LA SÍNIA;PG TERRAPLE NUM: 94,08750 MOLINS DE REI
MOLINS DE REI;ESCOLA L'ALZINA;C PUIGCERDA NUM: 56,08750 MOLINS DE REI
MOLINS DE REI;AMBULATORI VELL;C ESPERANTO NUM: 1,08750 MOLINS DE REI
MOLINS DE REI;ESCOLA ESTEL;C SANT JOAN NUM: 23,08750 MOLINS DE REI
MOLINS DE REI;CASAL CÍVIC RIERA BONET;C CA LA CORDIA NUM: 5,08750 MOLINS DE REI
MOLLET DEL VALLÈS;CEIP SANT JORDI;C JOAN MARAGALL NUM: 24,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP NICOLAS LONGARON;C FRANCESC MACIÀ NUM: 16,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;MERCAT VELL;PL PRAT DE LA RIBA NUM: 6,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP SANT VICENÇ;C ENRIC MORERA NUM: 47,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;MERCAT VELL;PL PRAT DE LA RIBA NUM: 6,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP COL.LEGIS NOUS;C GRANADA NUM: 1,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP JOAN SALVAT PAPASSEIT;AV CALDES DE MONTBUI NUM: 3,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CASAL AVIS;C GUSTAVO ADOLFO BÉCQUER NUM: 8,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP COL.LEGIS NOUS;C GRANADA NUM: 1,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP JOAN SALVAT PAPASSEIT;AV CALDES DE MONTBUI NUM: 3,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP JOAN ABELLO;AV PARC NUM: 25,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP JOAN SALVAT PAPASSEIT;AV CALDES DE MONTBUI NUM: 3,08100 MOLLET DEL VALLÈS
MOLLET DEL VALLÈS;CEIP JOAN ABELLO;AV PARC NUM: 25,08100 MOLLET DEL VALLÈS
MONTCADA I REIXAC;ESPAI JOVE CAN TAULER;C BALMES NUM: 16,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;AUDITORI MUNICIPAL;PL ESGLESIA NUM: 12,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;LOCAL ENTITAT;PTGE HUC DE MONTCADA NUM: 28,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;COL.LEGI PUBLIC EL TURO;C MONTIU NUM: 18,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;CENTRE CIVIC LA RIBERA;C LLEVANT NUM: 10,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;IES LA RIBERA;C LARRAMENDI S/N,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;COL.LEGI PUBLIC REIXAC;C DOCTOR BUXO S/N,MONTCADA CENTRE 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;COL.LEGI PUBLIC ELVIRA CUIAS;C BAIX SANT PERE NUM: 15,MAS RAMPINYO 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;IES MONTSERRAT MIRO;C CARRERADA S/N,MAS RAMPINYO 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;ESCOLA MAS RAMPINYO;C JOAN MIRO NUM: 15,MAS RAMPINYO 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;COL.LEGI PUBLIC MITJA COSTA;AV TERRA NOSTRA S/N,TERRA NOSTRA 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;ESPAI CULTURAL KURSAAL;C MASIA NUM: 39,CAN SANT JOAN 08110 MONTCADA I REIXAC
MONTCADA I REIXAC;CENTRE CÍVIC DE CAN CUIÀS;C CAMELIES S/N,CAN CUIAS 08110 MONTCADA I REIXAC
MONTGAT;ESCOLA PUBLICA SANT JOAN;C ESCOLES S/N,TURÓ DEL MAR 08390 MONTGAT
MONTGAT;ESCOLA TIMÓ;CAMI VELL A TIANA S/N,CAN MAURICI 08390 MONTGAT
MONTGAT;CASAL DE LA GENT GRAN JOAN MARAGALL;C MARINA NUM: 113,MALLORQUINES 08390 MONTGAT
MONTGAT;ESCOLA PUBLICA SANT JOAN;C ESCOLES S/N,TURÓ DEL MAR 08390 MONTGAT
MONISTROL DE MONTSERRAT;AGRUPACION E. MIXTA SANT PERE;C ESCOLES NUM: 27,08691 MONISTROL DE MONTSERRAT
MONISTROL DE CALDERS;ESCOLA L'ESQUEIX;CALLE ESCOLES S/N,08275 MONISTROL DE CALDERS
MUNTANYOLA;LOCAL POLIVALENT;C SERRARICA S/N,FONTANELLES 08529 MUNTANYOLA
MONTCLAR;ESCOLES DE MONTCLAR;. ESCOLES DE MONTCLAR S/N,CASO 08605 MONTCLAR
MONTESQUIU;EDIFICIO AYUNTAMIENTO BAJOS;PL EMILI JUNCADELLA NUM: 1,08585 MONTESQUIU
MONTMAJOR;ESCOLA COMARCAL;. ESCOLES S/N,08612 MONTMAJOR
MONTMANEU;LA SALA;C PANADELLA NUM: 3,08717 MONTMANEU
FIGARÓ-MONTMANY;CENTRE CÍVIC;PL ANNA BOSCH (D') S/N,FIGARÓ 08590 FIGARÓ-MONTMANY
MONTMELÓ;INS MONTMELÓ.PAVELLÓ;C POETA JOAN MARAGALL NUM: 36,08160 MONTMELÓ
MONTMELÓ;ESCOLA DE MUSICA;C LLUÍS COMPANYS NUM: 1,08160 MONTMELÓ
MONTMELÓ;CASAL DELS AVIS;C TIMBALER DEL BRUC NUM: 4,08160 MONTMELÓ
MONTMELÓ;PAVELLÓ POLIESPORTIU;C DOCTOR FERRAN S/N,08160 MONTMELÓ
MONTMELÓ;CENTRE LA TORRETA;C FOLCH I TORRES S/N,08160 MONTMELÓ
MONTORNÈS DEL VALLÈS;MENJADOR ESCOLA PALAU D'AMETLLA;C SANT ISIDRE (DE) NUM: 13,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;GIMNÀS ESCOLA SANT SADURNÍ;PL FONT (DE LA) NUM: 3,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;PINTOR MIR;PL JOAQUIM MIR (DE) NUM: 1,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;GIMNÀS ESCOLA PALAU D'AMETLLA;C SANT ISIDRE (DE) NUM: 13,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;SALA POLIVALENT ESCOLA SANT SADURNÍ;PL FONT (DE LA) NUM: 3,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;GIMNÀS ESCOLA MOGENT;CAMI JUSTADA (DE LA) NUM: 3,MONTORNES CENTRE 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;SALA POLIVALENT DEL CASAL DE CULTURA;AV RIU MOGENT (DEL) NUM: 2,MONTORNES NORD 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;AULARI ESCOLA MARINADA;C LLIBERTAT (DE LA) S/N,MONTORNES NORD 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;GIMNÀS ESCOLA MARINADA;C LLIBERTAT (DE LA) S/N,MONTORNES NORD 08170 MONTORNÈS DEL VALLÈS
MONTORNÈS DEL VALLÈS;ESCOLA MARINADA;C LLIBERTAT (DE LA) S/N,MONTORNES NORD 08170 MONTORNÈS DEL VALLÈS
MONTSENY;CASAL DE CULTURA;PG ESCOLES S/N,08469 MONTSENY
MOIÀ;ESCOLA PUBLICA JOSEP ORRIOLS I ROCA;C MIQUEL VILARRUBIA NUM: 12,08180 MOIÀ
MOIÀ;ESPLAI;PL PARE SAGRERA NUM: 10,08180 MOIÀ
MOIÀ;ESCOLA PUBLICA JOSEP ORRIOLS I ROCA;C MIQUEL VILARRUBIA NUM: 12,08180 MOIÀ
MURA;ESCOLAS DE MURA EDIFICI ANTIGUES ESCOLES;CTRA ROCAFORT S/N,08278 MURA
NAVARCLES;SALA D'ACTES DE L'AJUNTAMENT;PL VILA (DE LA) NUM: 1,08270 NAVARCLES
NAVARCLES;CENTRE CULTURAL LA CREUETA;AV GENERALITAT NUM: 3,08270 NAVARCLES
NAVARCLES;COL.LEGI PUBLIC CATALUNYA;AV PISCINES I ESPORTS NUM: 30,08270 NAVARCLES
NAVÀS;GUARDERIA MUNICIPAL;PL ESTACIÓ NUM: 2,08670 NAVÀS
NAVÀS;LLAR D'AVIS;PG RAMON VALL NUM: 71,08670 NAVÀS
NAVÀS;OFICINES MUNICIPALS;CTRA CARDONA (DE) S/N,PALA DE TORRUELLA (EL) 08269 NAVÀS
NOU DE BERGUEDÀ (LA);CENTRE CIVIC;. CENTRE CIVIC S/N,08698 NOU DE BERGUEDÀ (LA)
ÒDENA;CONSULTORI MEDIC DE L'ESPELT;CTRA ESPELT (DE L') S/N,ESPELT (L') 08711 ÒDENA
ÒDENA;AJUNTAMENT D'ODENA;PL MAJOR NUM: 2,08711 ÒDENA
ÒDENA;LLAR D'INFANTS 'L' AVIÓ DE PAPER';C AURORA (L') S/N,MANYOSES PLA (EL) 08711 ÒDENA
OLVAN;GRUP ESCOLAR-AULA 1;PL AJUNTAMENT (L') S/N,08611 OLVAN
OLVAN;OFICINA MPAL;GRUP SANT JOSEP NUM: 11,CAL ROSAL 08611 OLVAN
OLÈRDOLA;LOCAL SOCIAL ROSSEND MONTANE;C ROSSEND MONTANE I FERRER S/N,SANT MIQUEL D'OLÈRDOLA 08734 OLÈRDOLA
OLÈRDOLA;CENTRE CIVIC GATZARA;C FONT DEL CUSCÓ NUM: 30,SANT PERE MOLANTA 08799 OLÈRDOLA
OLÈRDOLA;CENTRE CIVIC LA XARXA;AV CARRERADA NUM: 31,MOJA 08734 OLÈRDOLA
OLESA DE BONESVALLS;SALA D'ACTES AJUNTAMENT OLESA BONESVALLS;PL VILA (LA) NUM: 1,08795 OLESA DE BONESVALLS
OLESA DE BONESVALLS;CENTRE SOCIAL CA N'OLIVELLA;C PINS NUM: 12,CAN OLIVELLA 08795 OLESA DE BONESVALLS
OLESA DE MONTSERRAT;CENTRE CÍVIC SANT BERNAT;C RIPOLLÉS S/N,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;VESTÍBOL D'ENTRADA CASA DE CULTURA;C SALVADOR CASAS NUM: 26,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;ESCOLA POVILL;PL JOAN POVILL (EN) NUM: 10,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;LOCAL FUNDACIÓ AGRÍCOLA OLESANA;C ANSELM CLAVÉ NUM: 90,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;LOCAL AAVV POBLE SEC;C GERMANS CASALS NUM: 14,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;LOCAL AAVV LA CENTRAL;C METGE CARRERAS S/N,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;LOCAL FUNDACIÓ AGRÍCOLA OLESANA;C ANSELM CLAVÉ NUM: 90,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;GIMNÀS CEIP MARE DE DÉU DE MONTSERRAT;C REPÚBLICA ARGENTINA NUM: 36,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;LOCAL AAVV LES PLANES;C VALLÉS S/N,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;CEIP JOSEP FERRÀ I ESTEVA;C CEBRIÀ MONTSERRAT S/N,08640 OLESA DE MONTSERRAT
OLESA DE MONTSERRAT;CEIP SANT BERNAT;C LLUÍS COMPANYS NUM: 2,08640 OLESA DE MONTSERRAT
OLIVELLA;LOCAL SOCIAL MUNICIPAL EL GANXO;AV SARDANA (DE LA) S/N,OLIVELLA-URBANITZACIÓ 08818 OLIVELLA
OLIVELLA;CEIP D'OLIVELLA;AV MAS MILA S/N,OLIVELLA-URBANITZACIÓ 08818 OLIVELLA
OLIVELLA;LOCAL SOCIAL MUNICIPAL LA SALA;C MAJOR NUM: 14,08818 OLIVELLA
OLOST;CENTRE CIVIC D'OLOST;C ESCOLES NUM: 2,08516 OLOST
ORÍS;PLANTA BAIXA DE L'AJUNTAMENT;AV CASTELL NUM: 1,CAN BRANQUES 08573 ORÍS
ORISTÀ;CENTRE CIVIC D'ORISTA;PL CATALUNYA NUM: 4,08518 ORISTÀ
ORPÍ;CASA DE LA VILA;PL SANT JORDI NUM: 4,CAN BOU 08787 ORPÍ
ÒRRIUS;DEPENDENCIAS MUNICIPALES;PL ESGLÉSIA NUM: 5,08317 ÒRRIUS
PACS DEL PENEDÈS;SALA DE ACTOS MUNICIPAL;AV DIPUTACIÓ S/N,08796 PACS DEL PENEDÈS
PALAFOLLS;CEIP LES FERRERIES;RBLA FERRERIES (LES) S/N,08389 PALAFOLLS
PALAFOLLS;ANTIGA FABRICA FORROLL;C SANT LLUÍS NUM: 1,08389 PALAFOLLS
PALAFOLLS;CEIP LES FERRERIES;RBLA FERRERIES (LES) S/N,08389 PALAFOLLS
PALAFOLLS;ANTIGA ESCOLA PUBLICA;C SANT GENÍS NUM: 24,SANT GENÍS DE PALAFOLLS 08389 PALAFOLLS
PALAU-SOLITÀ I PLEGAMANS;CENTRE RECREATIU;C CAMÍ REIAL (DEL) NUM: 146,08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;ESCOLA CAN CLADELLES;PTGE CAN CLADELLES (DE) S/N,SAGRERA (LA) 08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;MASIA DE CAN CORTES;C CAMÍ REIAL (DEL) NUM: 56,08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;CEIP PALAU;C ARQUITECTE FALGUERA (DE L') NUM: 37,CARRER DE DALT (EL)-PINEDA (LA)-PLA DE L'ALZINA 08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;CENTRE RECREATIU;C CAMÍ REIAL (DEL) NUM: 146,08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;ESCOLA BRESSOL EL SOL;C SANT JOAN (DE) S/N,POLÍGON INDUSTRIAL RIERA DE CALDES 08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;MASIA CAN FALGUERA;C CAN MAS (DE) NUM: 1,CAN FALGUERA-TURONS (ELS) 08184 PALAU-SOLITÀ I PLEGAMANS
PALAU-SOLITÀ I PLEGAMANS;IES RAMON CASAS I CARBO;C LLUÍS COMPANYS (DE) NUM: 2,08184 PALAU-SOLITÀ I PLEGAMANS
PALLEJÀ;LLAR D'INFANTS MUNICIPAL L'ESPURNA;C J. MOLINS PARERA NUM: 23,08780 PALLEJÀ
PALLEJÀ;C.P. LA GARALDA;C RIERA BOTER NUM: 12,08780 PALLEJÀ
PALLEJÀ;CEIP JACINT VERDAGUER;C RAMON LLULL NUM: 1,08780 PALLEJÀ
PALLEJÀ;CENTRE CIVIC I SOCIAL FONTPINEDA;VIA INTERNACIONAL NUM: 1,FONTPINEDA 08753 PALLEJÀ
PALLEJÀ;EDIFICI LA MOLINADA;AV PRAT DE LA RIBA NUM: 27,08780 PALLEJÀ
PAPIOL (EL);CEIP PAU VILA;PL DR. J. BARBERA S/N,08754 PAPIOL (EL)
PARETS DEL VALLÈS;COL.LEGI P. LLUIS PIQUER;AV FRANCESC MACIA NUM: 2,CASC ANTIC 08150 PARETS DEL VALLÈS
PARETS DEL VALLÈS;COL.LEGI P. POMPEU FABRA;PL SALUT S/N,EIXAMPLE (L') EIXAMPLE 08150 PARETS DEL VALLÈS
PARETS DEL VALLÈS;CASAL D'AVIS SANT JORDI;C GALENDE NUM: 1,EIXAMPLE (L') EIXAMPLE 08150 PARETS DEL VALLÈS
PARETS DEL VALLÈS;CASAL DE CULTURA CAN BUTJOSA;C SALUT (LA) NUM: 48,EIXAMPLE (L') EIXAMPLE 08150 PARETS DEL VALLÈS
PARETS DEL VALLÈS;PARVULARI ESCOLA PAU VILA;C JOAN MANUEL DE IMBERT S/N,EIXAMPLE (L') EIXAMPLE 08150 PARETS DEL VALLÈS
PERAFITA;SALA EXPOSICIONS;C MAJOR NUM: 4,08589 PERAFITA
PIERA;DARRERA ESCOLA DE MUSICA;C PLANTERS NUM: 3,08784 PIERA
PIERA;CASA DE LA VILA;C PLAÇA (DE LA) (PIERA) NUM: 16,08784 PIERA
PIERA;CASAL PER A JOVES I GRANS;PL MAR I CEL NUM: 1,08784 PIERA
PIERA;CONSULTORI MEDIC DE SANT JAUME;C NOU NUM: 22,SANT JAUME SES-OLIVERES 08784 PIERA
PIERA;CEIP CREIXA (ESCOLES);RBLA PIERA NUM: 58,CAN CANALS CAN CANALS DE MAS BOVE 08784 PIERA
PIERA;LOCAL ANNEX A RADIO PIERA (DISPIERA);PL GENERALITAT NUM: 3,08784 PIERA
PIERA;CREU ROJA;AV BARCELONA NUM: 5,08784 PIERA
PIERA;ASSOCIACIO DE VEINS DE CAN MAS;C PARIS NUM: 2,CAN MAS 08784 PIERA
PIERA;ASSOCIACIO DE VEINS DE CAN CLARAMUNT;C NOGUERA S/N,CAN CLARAMUNT 08784 PIERA
PIERA;CONSULTORI MÉDIC CAN AGUILERA;C ILLA (L') NUM: 32,CAN AGUILERA 08784 PIERA
HOSTALETS DE PIEROLA (ELS);AUDITORI DE CAL FIGUERES;PL CAL FIGUERES NUM: 1,08781 HOSTALETS DE PIEROLA (ELS)
HOSTALETS DE PIEROLA (ELS);POLIESPORTIU URBANITZACIO SERRA ALTA;C ITALIA S/N,SERRA-ALTA 08781 HOSTALETS DE PIEROLA (ELS)
PINEDA DE MAR;ESCOLA SANT JORDI;C VERDAGUER NUM: 15,08397 PINEDA DE MAR
PINEDA DE MAR;ANTIGA BIBLIOTECA;PL MELIES NUM: 21,08397 PINEDA DE MAR
PINEDA DE MAR;ESCOLA MEDITERRANIA;PL CASALS S/N,CAN CORNET 08397 PINEDA DE MAR
PINEDA DE MAR;IES JOAN COROMINES;C EXTREMADURA NUM: 27,CREUS (LES) 08397 PINEDA DE MAR
PINEDA DE MAR;IES EUCLIDES;PG EUROPA NUM: 65,POBLENOU (EL) 08397 PINEDA DE MAR
PINEDA DE MAR;ANTIGA BIBLIOTECA;PL MELIES NUM: 21,08397 PINEDA DE MAR
PINEDA DE MAR;IES EUCLIDES;PG EUROPA NUM: 65,POBLENOU (EL) 08397 PINEDA DE MAR
PINEDA DE MAR;ESCOLA SANT JORDI;C VERDAGUER NUM: 15,08397 PINEDA DE MAR
PINEDA DE MAR;BIBLIOTECA M. SERRA I MORET;C PROGRES NUM: 22,08397 PINEDA DE MAR
PINEDA DE MAR;BIBLIOTECA MUNICIPAL POBLENOU;PG EUROPA NUM: 29,POBLENOU (EL) 08397 PINEDA DE MAR
PINEDA DE MAR;IES EUCLIDES;PG EUROPA NUM: 65,POBLENOU (EL) 08397 PINEDA DE MAR
PLA DEL PENEDÈS (EL);COL.LEGI PUBLIC SANTS ABDON I SENEN;C SANTS ABDON I SENEN S/N,08733 PLA DEL PENEDÈS (EL)
POBLA DE CLARAMUNT (LA);TEATRE JARDÍ;AV CATALUNYA NUM: 16,08787 POBLA DE CLARAMUNT (LA)
POBLA DE LILLET (LA);AJUNTAMENT;PL AJUNTAMENT S/N,08696 POBLA DE LILLET (LA)
POBLA DE LILLET (LA);ESCUELAS LILLET A GUELL;C SALVADOR TORRENTS NUM: 6,08696 POBLA DE LILLET (LA)
POLINYÀ;CENTRE CIVIC;C SANT PERE S/N,POLÍGONO 1 08213 POLINYÀ
POLINYÀ;CEIP PERE CALDERS;PG SANLLEHY NUM: 20,POLÍGONO 2 08213 POLINYÀ
POLINYÀ;ESCOLA BRESSOL MUNICIPAL - EBM GINESTA;AV SABADELL NUM: 2,POLÍGONO 1 08213 POLINYÀ
POLINYÀ;CEIP ROSER CAPDEVILA;AV LLUÍS COMPANYS (DE) S/N,POLÍGONO 1 08213 POLINYÀ
PONTONS;SALA POLIVALENT;PL VILA NUM: 1,08738 PONTONS
PRAT DE LLOBREGAT (EL);ESCOLA JOAN MARAGALL;C JOAN MARAGALL NUM: 40,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA DEL PARC;ZONA PARC FONDO D'EN PEIXO NUM: 3,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA JOSEP TARRADELLAS;C PAU CASALS NUM: 144,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);CASES D'EN PUIG;PL AGRICULTURA NUM: 4,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA SANT JAUME;C PAU CASALS NUM: 136,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA JOSEP TARRADELLAS;C PAU CASALS NUM: 144,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);CÈNTRIC ESPAI CULTURAL;PL CATALUNYA NUM: 39,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA SANT JAUME;C PAU CASALS NUM: 136,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);INSTITUT ESTANY DE LA RICARDA;PTGE SALVADOR ESPRIU NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA DEL PARC;ZONA PARC FONDO D'EN PEIXO NUM: 3,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA RAMON LLULL;AV POMPEU FABRA NUM: 36,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA GALILEO GALILEI;AV VERGE MONTSERRAT NUM: 236,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA DEL PARC;ZONA PARC FONDO D'EN PEIXO NUM: 3,08820 PRAT DE LLOBREGAT (EL)
