COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25079|CERVERA|02|001||B|M Z|ESCOLES JAUME BALMES|PLAÇA PIUS XII, 1
25080|CERVERA|02|002||A|A K|ESCOLES MOSSEN JOSEP ARQUES|AV MIL·LENARI DE CATALUNYA, 22
25080|CERVERA|02|002||B|L Z|ESCOLES MOSSEN JOSEP ARQUES|AV MIL·LENARI DE CATALUNYA, 22
25081|CERVERA|02|003||U|A Z|ANTIGA CASERNA DE LA GUARDIA CIVIL|CARRER DUC D'AHUMADA, 2
25082|CERVERA|03|001||A|A K|INSTITUT DE FORMACIO PROFESSIONAL|AV FRANCESC MACIA, 15
25082|CERVERA|03|001||B|L Z|INSTITUT DE FORMACIO PROFESSIONAL|AV FRANCESC MACIA, 15
25083|CERVIA DE LES GARRIGUES|01|001||U|A Z|CASA CONSISTORIAL "SALA POLIVALENT"|CARRER PALAU, 1
25084|CIUTADILLA|01|001||U|A Z|AJUNTAMENT|PLAÇA MAJOR, 1
25085|CLARIANA DE CARDENER|01|001||U|A Z|LOCAL DE JOVENTUT|EDIF AJUNTAMENT, S/N
25086|COGUL (EL)|01|001||U|A Z|AJUNTAMENT|CARRER PLAÇA LA VILA, 4
25087|COLL DE NARGO|01|001||U|A Z|SALA D'ACTES|PLAÇA L'AJUNTAMENT, 1
25088|COMA I LA PEDRA (LA)|01|001||U|A Z|CASA CONSISTORIAL|PLAÇA AJUNTAMENT, 1 -LA COMA-
25089|CONCA DE DALT|01|001||U|A Z|OFICINES MUNICIPALS AJUNTAMENT|CARRER UNIC, S/N -EL PONT DE CLAVEROL-
25090|CORBINS|01|001||U|A Z|AJUNTAMENT (SALA D'ACTES)|PLAÇA DE LA VILA, S/N
25091|CUBELLS|01|001||U|A Z|COL·LEGI PUBLIC "SOL NAIXENT"|CARRER CARRETERA NOVA, S/N
25092|ESPLUGA CALBA (L')|01|001||U|A Z|AJUNTAMENT - PLANTA BAIXA|AV PAU CASALS, 15
